URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.org/guides/onc/us-quality-core/ValueSet/us-quality-core-non-negative-task-status,0.5.0,active,,NonNegativeTaskStatus,Non-Negative Task Status,"This value set defines the set of codes that indicate a non-negated task status (i.e. codes that are not `rejected`)","StructureDefinition/us-quality-core-task","hl7.fhir.r4.core"
http://fhir.org/guides/onc/us-quality-core/ValueSet/us-quality-core-observation-body-position,0.5.0,active,,USQualityCoreObservationBodyPosition,US Quality Core Observation Body Position,"SNOMED CT code system values descending from the following:'body position finding' 9851009",,"SCT"
http://fhir.org/guides/onc/us-quality-core/ValueSet/us-quality-core-present-on-admission,0.5.0,active,,USQualityCorePresentOnAdmission,USQualityCore Present On Admission Codes,"Value Set for USQualityCore Present On Admission.","StructureDefinition/us-quality-core-encounter-diagnosisPresentOnAdmission","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/us-quality-core-medicationdispensedeclined,StructureDefinition/us-quality-core-medicationrequest,StructureDefinition/us-quality-core-medicationdispense,StructureDefinition/us-quality-core-medicationstatement,StructureDefinition/us-quality-core-medicationnotrequested","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/us-quality-core-patient,StructureDefinition/us-quality-core-practitioner,StructureDefinition/us-quality-core-organization,StructureDefinition/us-quality-core-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/us-quality-core-patient,StructureDefinition/us-quality-core-practitioner,StructureDefinition/us-quality-core-organization,StructureDefinition/us-quality-core-location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/adjudication,4.0.1,draft,"2.16.840.1.113883.4.642.3.596",AdjudicationValueCodes,Adjudication Value Codes,"This value set includes a smattering of Adjudication Value codes which includes codes to indicate the amounts eligible under the plan, the amount of benefit, copays etc.","StructureDefinition/us-quality-core-claimresponse","THO"
http://hl7.org/fhir/ValueSet/adjudication-error,4.0.1,draft,"2.16.840.1.113883.4.642.3.39",Adjudication Error Codes,AdjudicationError,"This value set includes a smattering of adjudication codes.","StructureDefinition/us-quality-core-claimresponse","THO"
http://hl7.org/fhir/ValueSet/adjudication-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.598",AdjudicationReasonCodes,Adjudication Reason Codes,"This value set includes smattering of Adjudication Reason codes.","StructureDefinition/us-quality-core-claimresponse","THO"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/us-quality-core-medicationdispensedeclined,StructureDefinition/us-quality-core-medicationrequest,StructureDefinition/us-quality-core-medicationdispense,StructureDefinition/us-quality-core-medicationadministration,StructureDefinition/us-quality-core-medicationadministrationnotdone,StructureDefinition/us-quality-core-medicationstatement,StructureDefinition/us-quality-core-medicationnotrequested","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/us-quality-core-patient,StructureDefinition/us-quality-core-familymemberhistory,StructureDefinition/us-quality-core-practitioner,StructureDefinition/us-quality-core-relatedperson","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.3.831",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","StructureDefinition/us-quality-core-adverseevent","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/adverse-event-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.833",AdverseEventCategory,AdverseEventCategory,"Overall categorization of the event, e.g. product-related or situational.","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-assess,4.0.1,draft,"2.16.840.1.113883.4.642.3.840",AdverseEventCausalityAssessment,AdverseEventCausalityAssessment,"Codes for the assessment of whether the entity caused the event.","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.842",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.836",AdverseEventOutcome,AdverseEventOutcome,"TODO (and should this be required?).","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-seriousness,4.0.1,draft,"2.16.840.1.113883.4.642.3.838",AdverseEventSeriousness,AdverseEventSeriousness,"Overall seriousness of this event for the patient.","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.844",AdverseEventSeverity,AdverseEventSeverity,"The severity of the adverse event itself, in direct relation to the subject.","StructureDefinition/us-quality-core-adverseevent","THO"
http://hl7.org/fhir/ValueSet/adverse-event-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.835",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all SNOMED CT Clinical Findings.","StructureDefinition/us-quality-core-adverseevent","SCT"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/us-quality-core-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.3.129",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","StructureDefinition/us-quality-core-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/us-quality-core-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.1372",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","StructureDefinition/us-quality-core-allergyintolerance","THO"
http://hl7.org/fhir/ValueSet/allergyintolerance-verification,4.0.1,draft,"2.16.840.1.113883.4.642.3.1370",AllergyIntoleranceVerificationStatusCodes,AllergyIntolerance Verification Status Codes,"Preferred value set for AllergyIntolerance Verification Status.","StructureDefinition/us-quality-core-allergyintolerance","THO"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/us-quality-core-medicationdispensedeclined,StructureDefinition/us-quality-core-medicationrequest,StructureDefinition/us-quality-core-medicationdispense,StructureDefinition/us-quality-core-medicationadministration,StructureDefinition/us-quality-core-medicationadministrationnotdone,StructureDefinition/us-quality-core-medicationstatement,StructureDefinition/us-quality-core-medicationnotrequested","SCT"
