Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/profiles/StructureDefinition-us-quality-core-medicationdispense.json	10020	2	0	32	1	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0	0	197	476	0	0	0	7	0	1
input/profiles/StructureDefinition-us-quality-core-medicationdispensedeclined.json	9589	2	0	27	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	195	447	0	0	0	7	1	1
input/profiles/StructureDefinition-us-quality-core-medicationnotrequested.json	12694	3	0	27	1	0	0	0	0	27	0	0	0	0	1	0	0	1	0	0	0	253	508	0	0	0	10	0	2
input/profiles/StructureDefinition-us-quality-core-medicationrequest.json	18586	3	0	38	0	0	0	0	1	31	0	0	0	0	1	0	0	2	0	0	0	297	605	0	0	0	11	1	2
input/profiles/StructureDefinition-us-quality-core-medicationstatement.json	6314	1	0	17	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	143	394	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-nonpatient-observation.json	15526	2	0	25	0	0	0	0	1	26	0	0	0	0	1	0	0	1	0	0	0	203	3010	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-nutritionorder.json	2396	2	0	20	0	0	0	0	0	15	0	0	1	0	1	0	0	1	0	0	0	147	349	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-observation-clinical-result.json	10050	2	0	20	1	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	188	403	0	0	0	8	1	1
input/profiles/StructureDefinition-us-quality-core-observation-lab.json	14001	2	0	23	0	0	0	0	1	23	0	0	0	0	1	0	0	1	0	0	0	207	2084	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-observation-screening-assessment.json	20437	3	0	55	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	220	4493	0	1	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-observationcancelled.json	11622	2	0	26	0	0	0	0	0	23	0	0	0	0	1	0	0	1	0	0	0	197	408	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-organization.json	5033	2	0	33	0	0	0	0	0	18	0	0	0	0	1	0	0	1	0	0	0	159	401	0	0	0	7	0	1
input/profiles/StructureDefinition-us-quality-core-patient.json	25143	4	0	34	1	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	0	278	1648	0	0	0	10	1	2
input/profiles/StructureDefinition-us-quality-core-practitioner.json	10168	2	0	26	0	0	0	0	0	24	0	0	0	0	1	0	0	1	0	0	0	206	428	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-practitionerrole.json	8346	2	0	17	0	0	0	0	1	23	0	0	1	0	0	0	0	0	0	0	0	143	327	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-procedure.json	8815	2	0	18	0	0	0	0	0	17	0	0	0	0	1	0	0	1	0	0	0	146	344	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-procedurenotdone.json	8932	2	0	19	0	0	0	0	0	16	0	0	0	0	1	0	0	1	0	0	0	155	352	0	0	0	6	0	1
input/profiles/StructureDefinition-us-quality-core-questionnaireresponse.json	5044	1	0	14	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	126	316	0	0	0	4	0	0
input/profiles/StructureDefinition-us-quality-core-relatedperson.json	4447	2	0	12	0	0	0	0	0	8	0	0	0	0	1	0	0	1	0	0	0	82	210	0	0	0	3	1	1
input/profiles/StructureDefinition-us-quality-core-servicenotrequested.json	10042	3	0	21	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	155	356	0	1	0	6	0	1
input/profiles/StructureDefinition-us-quality-core-servicerequest.json	9664	2	0	20	0	0	0	0	0	14	0	0	0	0	1	0	0	1	0	0	0	140	345	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-simple-observation.json	18874	2	0	23	0	0	0	0	1	22	0	0	0	0	1	0	0	1	0	0	0	212	405	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-substance.json	2574	2	0	11	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	79	254	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-task.json	4812	1	0	21	0	0	0	0	0	47	0	0	0	0	1	0	0	1	0	0	0	138	347	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-taskrejected.json	6425	2	0	22	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	159	362	0	0	0	6	0	1
input/resources/CapabilityStatement-us-quality-core-client.json	127201	7	0	0	14	0	0	0	10	90	0	0	0	0	1	0	0	0	0	0	0	273	157	0	2	0	10	0	1
input/resources/CapabilityStatement-us-quality-core-server.json	128141	7	0	0	1	0	0	0	9	60	0	0	0	0	0	0	0	0	0	0	0	331	148	0	2	0	9	0	2
input/resources/SearchParameter-us-quality-core-adverseevent-event.json	904	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	14	7	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-adverseevent-recorded-date.json	2739	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-adverseevent-subject.json	948	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	10	6	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-allergyintolerance-patient.json	956	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-bodystructure-patient.json	926	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careplan-category.json	898	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careplan-patient.json	924	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-careteam-patient.json	924	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	8	6	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-careteam-status.json	886	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claim-patient.json	878	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claimresponse-patient.json	926	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-claimresponse-type.json	904	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communication-patient.json	954	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	9	6	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-communication-topic.json	910	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communicationrequest-category.json	970	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-communicationrequest-patient.json	996	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	10	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-abatement-date.json	2421	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0
input/resources/SearchParameter-us-quality-core-condition-category.json	904	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-code.json	880	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	9	6	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-onset-date.json	2393	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-condition-patient.json	930	2	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	8	6	0	0	0	0	0	0
